alpha,filter,flux,lh,logg,meta,teff,vtur,wavelength
0,Liverpool/IOO.SDSS-r,32315226.35488,1.25,1.5,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,32421633.314092,1.25,2,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,32507539.282723,1.25,2.5,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,32604153.394419,1.25,3,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,32664515.581207,1.25,3.5,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,32643921.039281,1.25,4,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,32548622.552686,1.25,4.5,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,32484584.947359,1.25,5,-0.5,8750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,34467034.907391,1.25,1.5,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,34683086.389407,1.25,2,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,34766808.14411,1.25,2.5,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,34866408.842932,1.25,3,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,34962662.514388,1.25,3.5,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,35011042.175123,1.25,4,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,34980248.618458,1.25,4.5,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,34946197.590273,1.25,5,-0.5,9000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,36940411.325976,1.25,2,-0.5,9250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,37022037.788374,1.25,2.5,-0.5,9250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,37107952.016548,1.25,3,-0.5,9250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,37209250.947832,1.25,3.5,-0.5,9250,2,6120.6481623918
